"Time","CO2","Humidity","PM10","PM2.5","Temperature","TVOC"
2024-01-22 22:00:00,630 ppm,80.5 %H,16.9 μg/m³,16.2 μg/m³,23.7 °C,1.07 ppm
2024-01-22 20:00:00,642 ppm,81.2 %H,18.5 μg/m³,18 μg/m³,23.4 °C,0.954 ppm
2024-01-22 18:00:00,694 ppm,81.1 %H,20.9 μg/m³,19.9 μg/m³,23.1 °C,0.977 ppm
2024-01-22 16:00:00,702 ppm,80.6 %H,18.4 μg/m³,17.8 μg/m³,23.2 °C,0.939 ppm
2024-01-22 14:00:00,647 ppm,80.5 %H,12.5 μg/m³,11.9 μg/m³,23.2 °C,0.836 ppm
2024-01-22 12:00:00,590 ppm,80.9 %H,10.1 μg/m³,9.82 μg/m³,23.1 °C,0.881 ppm
2024-01-22 10:00:00,488 ppm,81.5 %H,9.94 μg/m³,9.53 μg/m³,23.2 °C,0.845 ppm
2024-01-22 08:00:00,432 ppm,80.9 %H,11.1 μg/m³,10.6 μg/m³,23.5 °C,0.926 ppm
2024-01-22 06:00:00,433 ppm,80.5 %H,11.9 μg/m³,11.2 μg/m³,24.3 °C,0.860 ppm
2024-01-22 04:00:00,442 ppm,80.5 %H,12.5 μg/m³,12.1 μg/m³,24.3 °C,0.826 ppm
2024-01-22 02:00:00,449 ppm,80.5 %H,14.6 μg/m³,13.2 μg/m³,24.3 °C,0.837 ppm
2024-01-22 00:00:00,454 ppm,80.5 %H,15.2 μg/m³,14.5 μg/m³,24.3 °C,0.818 ppm
2024-01-21 22:00:00,455 ppm,80.0 %H,15.9 μg/m³,15.1 μg/m³,24.3 °C,0.800 ppm
2024-01-21 20:00:00,458 ppm,80 %H,16.8 μg/m³,16.1 μg/m³,24.4 °C,0.806 ppm
2024-01-21 18:00:00,453 ppm,80 %H,17.4 μg/m³,16.4 μg/m³,24.5 °C,0.794 ppm
2024-01-21 16:00:00,444 ppm,80 %H,17.2 μg/m³,16.5 μg/m³,24.4 °C,0.798 ppm
2024-01-21 14:00:00,446 ppm,80 %H,15.9 μg/m³,15.4 μg/m³,24.3 °C,0.784 ppm
2024-01-21 12:00:00,444 ppm,80.5 %H,14.8 μg/m³,14.4 μg/m³,24.1 °C,0.792 ppm
2024-01-21 10:00:00,450 ppm,80.5 %H,14.6 μg/m³,13.9 μg/m³,23.9 °C,0.813 ppm
2024-01-21 08:00:00,457 ppm,80.5 %H,13.5 μg/m³,13.1 μg/m³,23.7 °C,0.906 ppm
2024-01-21 06:00:00,462 ppm,80.5 %H,13.2 μg/m³,13.1 μg/m³,23.7 °C,0.899 ppm
2024-01-21 04:00:00,463 ppm,80.7 %H,13.1 μg/m³,12.7 μg/m³,23.6 °C,0.933 ppm
2024-01-21 02:00:00,468 ppm,81.0 %H,13.8 μg/m³,13.2 μg/m³,23.6 °C,0.942 ppm
2024-01-21 00:00:00,472 ppm,81 %H,15.5 μg/m³,14.8 μg/m³,23.5 °C,0.915 ppm
2024-01-20 22:00:00,471 ppm,81 %H,14.6 μg/m³,14.1 μg/m³,23.5 °C,0.924 ppm
2024-01-20 20:00:00,462 ppm,81.1 %H,15.7 μg/m³,15 μg/m³,23.5 °C,0.852 ppm
2024-01-20 18:00:00,452 ppm,81.5 %H,16.5 μg/m³,16.1 μg/m³,23.4 °C,0.761 ppm
2024-01-20 16:00:00,447 ppm,82.1 %H,15.3 μg/m³,14.8 μg/m³,23.2 °C,0.676 ppm
2024-01-20 14:00:00,449 ppm,81.9 %H,13.9 μg/m³,13.2 μg/m³,23.0 °C,0.742 ppm
