Time,CO2,Humidity,PM10,PM2.5,Temperature,TVOC
2024-02-16 20:00:00,942 ppm,80.7 %H,17.2 μg/m³,16.8 μg/m³,23.2 °C,0.438 ppm
2024-02-16 21:00:00,889 ppm,80.1 %H,17 μg/m³,16.5 μg/m³,23.5 °C,0.455 ppm
2024-02-16 22:00:00,846 ppm,80 %H,17.8 μg/m³,17 μg/m³,23.6 °C,0.328 ppm
2024-02-16 23:00:00,806 ppm,79.8 %H,17.8 μg/m³,17.5 μg/m³,23.7 °C,0.392 ppm
2024-02-17 00:00:00,766 ppm,79.5 %H,17.7 μg/m³,17.3 μg/m³,23.7 °C,0.342 ppm
2024-02-17 01:00:00,737 ppm,79.5 %H,17.7 μg/m³,17 μg/m³,23.8 °C,0.337 ppm
2024-02-17 02:00:00,709 ppm,79.5 %H,18 μg/m³,17.3 μg/m³,23.8 °C,0.393 ppm
2024-02-17 03:00:00,680 ppm,79.5 %H,17.5 μg/m³,17 μg/m³,23.8 °C,0.368 ppm
2024-02-17 04:00:00,658 ppm,79.5 %H,18.2 μg/m³,17.3 μg/m³,23.9 °C,0.377 ppm
2024-02-17 05:00:00,634 ppm,79.5 %H,18.2 μg/m³,17 μg/m³,23.9 °C,0.418 ppm
2024-02-17 06:00:00,613 ppm,79.5 %H,19.5 μg/m³,18.7 μg/m³,23.9 °C,0.413 ppm
2024-02-17 07:00:00,600 ppm,79.5 %H,18.2 μg/m³,18 μg/m³,23.9 °C,0.365 ppm
2024-02-17 08:00:00,587 ppm,79.8 %H,18.7 μg/m³,18 μg/m³,23.4 °C,0.472 ppm
2024-02-17 09:00:00,560 ppm,80.6 %H,19.8 μg/m³,19 μg/m³,23.2 °C,0.355 ppm
2024-02-17 10:00:00,540 ppm,80.7 %H,19.7 μg/m³,18.5 μg/m³,23.1 °C,0.338 ppm
2024-02-17 11:00:00,528 ppm,80.8 %H,21.2 μg/m³,20 μg/m³,23.1 °C,0.440 ppm
2024-02-17 12:00:00,513 ppm,80.7 %H,19.3 μg/m³,18.8 μg/m³,23.1 °C,0.397 ppm
2024-02-17 13:00:00,509 ppm,80.9 %H,18.8 μg/m³,18.2 μg/m³,23.1 °C,0.390 ppm
2024-02-17 14:00:00,504 ppm,81.1 %H,20.2 μg/m³,19.3 μg/m³,23.1 °C,0.457 ppm
